host,_time,Speed
D01A2057Z,2024-09-11T16:51:50.000+00:00,0
D01A2057Z,2024-09-11T16:52:00.000+00:00,0
D01A2057Z,2024-09-11T16:52:10.000+00:00,0
D01A2057Z,2024-09-11T16:52:20.000+00:00,0
D01A2057Z,2024-09-11T16:52:30.000+00:00,0
D01A2057Z,2024-09-11T16:52:50.000+00:00,0
D01A2057Z,2024-09-11T16:53:00.000+00:00,0
D01A2057Z,2024-09-11T16:53:10.000+00:00,0
D01A2057Z,2024-09-11T16:53:20.000+00:00,0
D01A2057Z,2024-09-11T16:53:30.000+00:00,0
D01A2057Z,2024-09-11T16:53:40.000+00:00,0
D01A2057Z,2024-09-11T16:54:00.000+00:00,0
D01A2057Z,2024-09-11T16:54:10.000+00:00,0
D01A2057Z,2024-09-11T16:54:20.000+00:00,0
D01A2057Z,2024-09-11T16:54:30.000+00:00,0
D01A2057Z,2024-09-11T16:54:40.000+00:00,0
D01A2057Z,2024-09-11T16:54:50.000+00:00,0
D01A2057Z,2024-09-11T16:55:00.000+00:00,0
D01A2057Z,2024-09-11T16:55:10.000+00:00,0
D01A2057Z,2024-09-11T16:55:20.000+00:00,0
D01A2057Z,2024-09-11T16:55:30.000+00:00,0
D01A2057Z,2024-09-11T16:55:40.000+00:00,0
D01A2057Z,2024-09-11T16:56:00.000+00:00,0
D01A2057Z,2024-09-11T16:56:10.000+00:00,0
D01A2057Z,2024-09-11T16:56:20.000+00:00,0
D01A2057Z,2024-09-11T16:56:40.000+00:00,0
D01A2057Z,2024-09-11T16:56:50.000+00:00,0
D01A2057Z,2024-09-11T16:57:00.000+00:00,0
D01A2057Z,2024-09-11T16:57:10.000+00:00,0
D01A2057Z,2024-09-11T16:57:20.000+00:00,0
D01A2057Z,2024-09-11T16:57:30.000+00:00,0
D01A2057Z,2024-09-11T16:57:40.000+00:00,0
D01A2057Z,2024-09-11T16:58:00.000+00:00,0
D01A2057Z,2024-09-11T16:58:10.000+00:00,0
D01A2057Z,2024-09-11T16:58:20.000+00:00,0
D01A2057Z,2024-09-11T16:58:30.000+00:00,0
D01A2057Z,2024-09-11T16:58:40.000+00:00,0
D01A2057Z,2024-09-11T16:58:50.000+00:00,1.14
D01A2057Z,2024-09-11T16:59:00.000+00:00,0
D01A2057Z,2024-09-11T16:59:10.000+00:00,1.55
D01A2057Z,2024-09-11T16:59:20.000+00:00,1.52
D01A2057Z,2024-09-11T16:59:30.000+00:00,1.25
D01A2057Z,2024-09-11T16:59:40.000+00:00,0
D01A2057Z,2024-09-11T16:59:50.000+00:00,0
D01A2057Z,2024-09-11T17:16:30.000+00:00,0
D01A2057Z,2024-09-11T17:48:40.000+00:00,0
D01A2057Z,2024-09-11T21:59:20.000+00:00,0.36
D01A2057Z,2024-09-11T21:59:30.000+00:00,0.7
D01A2057Z,2024-09-11T21:59:40.000+00:00,1.1
D01A2057Z,2024-09-16T12:19:20.000+00:00,0
D01A2057Z,2024-09-17T15:11:10.000+00:00,1.02
D01A2057Z,2024-09-20T14:20:40.000+00:00,0
D01A2057Z,2024-09-20T14:20:50.000+00:00,0
D01A2057Z,2024-09-20T14:21:00.000+00:00,0
D01A2057Z,2024-09-20T14:21:10.000+00:00,0
D01A2057Z,2024-09-20T14:21:20.000+00:00,0
D01A2057Z,2024-09-20T14:21:30.000+00:00,0
D01A2057Z,2024-09-20T14:21:40.000+00:00,0
D01A2057Z,2024-09-20T14:21:50.000+00:00,0
D01A2057Z,2024-09-20T14:22:00.000+00:00,0
D01A2057Z,2024-09-20T14:22:10.000+00:00,0
D01A2057Z,2024-09-20T14:22:20.000+00:00,0
D01A2057Z,2024-09-20T14:22:30.000+00:00,0
D01A2057Z,2024-09-20T14:22:40.000+00:00,0
D01A2057Z,2024-09-20T14:22:50.000+00:00,0
D01A2057Z,2024-09-20T14:23:00.000+00:00,0
D01A2057Z,2024-09-20T14:23:10.000+00:00,0
D01A2057Z,2024-09-20T14:23:20.000+00:00,0
D01A2057Z,2024-09-20T14:23:30.000+00:00,0
D01A2057Z,2024-09-20T14:23:40.000+00:00,0
D01A2057Z,2024-09-20T14:23:50.000+00:00,0.81
D01A2057Z,2024-09-20T14:24:00.000+00:00,0.79
D01A2057Z,2024-09-20T14:24:10.000+00:00,0.82
D01A2057Z,2024-09-20T14:24:20.000+00:00,0.38
D01A2057Z,2024-09-20T14:24:30.000+00:00,0
D01A2057Z,2024-09-20T14:24:40.000+00:00,0
D01A2057Z,2024-09-20T14:24:50.000+00:00,0.7
D01A2057Z,2024-09-20T14:25:00.000+00:00,0.94
D01A2057Z,2024-09-20T14:25:10.000+00:00,0.97
D01A2057Z,2024-09-20T14:25:20.000+00:00,0.92
D01A2057Z,2024-09-20T14:25:30.000+00:00,1.02
D01A2057Z,2024-09-20T14:25:40.000+00:00,1.15
D01A2057Z,2024-09-20T14:25:50.000+00:00,0.95
D01A2057Z,2024-09-20T14:26:00.000+00:00,1.1
D01A2057Z,2024-09-20T14:26:10.000+00:00,1.06
D01A2057Z,2024-09-20T14:26:20.000+00:00,1.3
D01A2057Z,2024-09-20T14:26:30.000+00:00,1.23
D01A2057Z,2024-09-20T14:26:40.000+00:00,1.34
D01A2057Z,2024-09-20T14:26:50.000+00:00,1.31
D01A2057Z,2024-09-20T14:27:00.000+00:00,1.38
D01A2057Z,2024-09-20T14:27:10.000+00:00,0.99
D01A2057Z,2024-09-20T14:27:20.000+00:00,1.04
D01A2057Z,2024-09-20T14:27:30.000+00:00,1.23
D01A2057Z,2024-09-20T14:27:40.000+00:00,1.38
D01A2057Z,2024-09-20T14:27:50.000+00:00,1.16
D01A2057Z,2024-09-20T14:28:00.000+00:00,0.99
D01A2057Z,2024-09-20T14:28:10.000+00:00,1.09
D01A2057Z,2024-09-20T14:28:20.000+00:00,1.12
D01A2057Z,2024-09-20T14:28:30.000+00:00,0
D01A2057Z,2024-09-20T14:28:40.000+00:00,0.45
D01A2057Z,2024-09-20T14:28:50.000+00:00,0
D01A2057Z,2024-09-20T14:29:00.000+00:00,0
D01A2057Z,2024-09-20T14:29:10.000+00:00,1.11
D01A2057Z,2024-09-20T14:29:20.000+00:00,0.37
D01A2057Z,2024-09-20T14:29:30.000+00:00,0
D01A2057Z,2024-09-20T14:29:40.000+00:00,0.62
D01A2057Z,2024-09-20T14:29:50.000+00:00,0
D01A2057Z,2024-09-20T14:30:00.000+00:00,0.85
D01A2057Z,2024-09-20T14:30:10.000+00:00,0
D01A2057Z,2024-09-20T14:30:20.000+00:00,0
D01A2057Z,2024-09-20T14:30:30.000+00:00,0
D01A2057Z,2024-09-20T14:30:40.000+00:00,0
D01A2057Z,2024-09-20T14:30:50.000+00:00,0
D01A2057Z,2024-09-20T14:31:00.000+00:00,0
D01A2057Z,2024-09-20T14:31:10.000+00:00,0
D01A2057Z,2024-09-20T14:31:20.000+00:00,0.9
D01A2057Z,2024-09-20T14:31:30.000+00:00,0.8
D01A2057Z,2024-09-20T14:31:40.000+00:00,0.9
D01A2057Z,2024-09-20T18:40:10.000+00:00,0
D01A2057Z,2024-09-20T18:40:20.000+00:00,0
D01A2057Z,2024-09-20T18:56:40.000+00:00,0
D01A2057Z,2024-09-20T19:12:30.000+00:00,0
D01A2057Z,2024-09-20T19:12:40.000+00:00,0
D01A2057Z,2024-09-20T19:29:00.000+00:00,0
D01A2057Z,2024-09-20T19:45:10.000+00:00,0
D01A2057Z,2024-09-20T20:01:10.000+00:00,0
